Name,Legal_Name,Start_Date,Street_Number,Street_Name,ZIP_Code,Lat,Lon,Category
Dunkin Donuts,Heartland Restaurant Group LLC,4/5/12,553,Carnot Rd,15108,40.516458,-80.220609,"Breakfast, Drink, Other"
Dunkin Donuts,"Heartland Restaurant Group, LLC",12/5/14,1541,Washington Rd,15228,40.355509,-80.049809,"Breakfast, Drink, Other"
Dunkin Donuts,Heartland Restaurant Group,3/9/15,411,Smithfield St,15222,40.439106,-79.99952,"Breakfast, Drink, Other"
Dunkin Donuts,Heartland Restaurant Group LLC,8/19/13,3200,Saw Mill Run Blvd,15227,40.376434,-79.984154,"Breakfast, Drink, Other"
Dunkin Donuts,Heartland Restaurant Group LLC,7/28/15,11175,Perry Hwy,15090,40.6204827,-80.0552996,"Breakfast, Drink, Other"
Dunkin Donuts / Squirrel Hill,Heartland Restaurant Group LLC,9/21/09,5889,Forbes Ave,15217,40.438267,-79.919646,"Breakfast, Drink, Other"
Dunkin Donuts #346772,Heartland Restaurant Group,6/11/08,28,Market Sq,15222,40.440968,-80.003066,"Breakfast, Drink, Other"
Dunkin Donuts #347328,Heartland Rest Group,12/8/08,344,Rodi Rd,15235,40.458241,-79.823727,"Breakfast, Drink, Other"
Dunkin Donuts #347605,Heartland Restaurant Group LLC,11/17/08,301,10th Ave,15084,40.605405,-79.756437,"Breakfast, Drink, Other"
Dunkin Donuts #348440,Heartland Restaurant Group LLC,10/1/09,4578,Browns Hill Rd,15217,40.416036,-79.924733,"Breakfast, Drink, Other"
Dunkin Donuts #348700,HRG Oakland LLC,7/9/10,3907,Forbes Ave,15213,40.442213,-79.956375,"Breakfast, Drink, Other"
Dunkin Donuts #348824,Heartland Restaurant Group,3/15/11,911,Butler St,15223,40.511493,-79.948265,"Breakfast, Drink, Other"
Dunkin Donuts #348825,Heartland Restaurant Group LLC,11/22/11,45,Foster Ave,15205,40.439536,-80.069355,"Breakfast, Drink, Other"
Dunkin Donuts #348993,Heartland Restaurant Group,12/12/10,601,Grant St,15219,40.441093,-79.996009,"Breakfast, Drink, Other"
Dunkin Donuts #349047,Heartland Restaurant Group,8/19/10,800,West View Park Dr,15229,40.517833,-80.031722,"Breakfast, Drink, Other"
Dunkin Donuts #349049,Heartland Restaurant Group,9/13/10,360,Curry Hollow Rd,15236,40.336754,-79.977231,"Breakfast, Drink, Other"
Dunkin Donuts #349884,Heartland Restaurant Group LLC,3/18/13,2134,Brownsville Rd,15210,40.391804,-79.98738,"Breakfast, Drink, Other"
Dunkin Donuts #350871,Heartland Restaurant Group LLC,10/29/12,2525,5th Ave,15132,40.356166,-79.834442,"Breakfast, Drink, Other"
Dunkin Donuts #352224,Heartland Restaurant Group LLC,4/28/14,2725,Freeport Rd,15238,40.538421,-79.833921,"Breakfast, Drink, Other"
Dunkin Donuts #352225,HRG Bethel Park LLC,2/28/14,1031,Paxton Dr,15102,40.336689,-80.023596,"Breakfast, Drink, Other"
Dunkin Donuts #353396,HRG Collier LLC,11/13/14,1098,Washington Pi,15017,40.366665,-80.105453,"Breakfast, Drink, Other"
Dunkin Donuts #354675,Heartland Restaurant Group LLC,5/26/16,145,McMurray Rd,15241,40.326016,-80.065199,"Breakfast, Drink, Other"
Dunkin' Donuts / Baskin-Robbins,BARU Inc,6/23/87,1121,Lincoln Hwy,15137,40.449337,-80.199547,"Breakfast, Drink, Other"
Dunkin' Donuts #348529,Dunkin' Donuts Dormont LLC,11/6/09,2961,W Liberty Ave,15216,40.393828,-80.035199,"Breakfast, Drink, Other"
Einstein Bros Bagels @ Koppers,JRK Foods - Koppers LLC,1/23/15,436,7th Ave,15219,40.442111,-79.995554,"Breakfast, Drink, Other"
Einstein Bros Bagels #4054,JRK Foods Greentree LlC,4/4/13,979,Greentree Rd,15220,40.418469,-80.045429,"Breakfast, Drink, Other"
Einstein Bros Bagels #4055,JRK Foods -Baum LLC,4/2/13,4910,Baum Blvd,15213,40.454553,-79.946117,"Breakfast, Drink, Other"
Einstein Bros Bagels #4057,JRK Foods - PPG LLC,4/4/13,410,Market St / 3 PPG Place,15222,40.4401,-80.002703,"Breakfast, Drink, Other"
Elements Cafe,Parkhurst Dining Services,6/23/14,6425,Penn Ave,15206,40.457165,-79.916834,"Breakfast, Drink, Other"
Famous Wok,Famous Wok Inc,10/21/15,445,Pittsburgh Mills Cir,15084,40.637815,-79.796052,Take Out
Fellini's Pizzeria,,9/15/14,1231,Rt 51,15025,40.310512,-79.937441,Take Out
Fellini's Pizzeria,Fellini's Pizzeria Inc,2/21/14,6028,Saltsburg Rd,15147,40.48395,-79.820252,Take Out
Fellini's Pizzeria,,11/29/10,1624,Lincoln Way,15131,40.346983,-79.817164,Take Out
Fellini's Pizzeria,Fellini's Pizza LLC,8/4/15,4415,Old Wm Penn Hwy,15146,40.44612,-79.763587,Take Out
Firehouse Subs,Be Mart LLC,6/12/13,320,McHolme Dr,15275,40.448493,-80.174259,Take Out
Five Guys #1208,Five Guys Operations LLC,7/24/13,1000,Ross Park Mall Dr,15237,40.538969,-80.007711,NO Dollar Menu
Five Guys Burgers & Fries,Wholesome Burger LLC,11/21/11,324,McHolme Dr,15275,40.44849,-80.174263,NO Dollar Menu
Five Guys Burgers & Fries,Wholesome Burger II LLC,11/10/05,117,S Bouquet St,15213,40.442269,-79.956672,NO Dollar Menu
Five Guys Burgers & Fries,Wholesom Burger I LLC,8/24/05,1029,Freeport Rd,15238,40.488266,-79.885518,NO Dollar Menu
Five Guys Burgers & Fries,Five Guys Operations LLC,7/19/13,2030,Pittsburgh Mills Blvd,15084,40.637815,-79.796052,NO Dollar Menu
Five Guys Burgers & Fries,Wholesome Burgers XVII,6/14/13,3845,Northern Pike,15146,40.438694,-79.77763,NO Dollar Menu
Five Guys Burgers & Fries #1665,Wholesome Burgers LLC,5/1/14,3,PPG Place,15222,40.4401,-80.002703,NO Dollar Menu
Fortune Star Buffet,Century Star Inc,5/12/16,591,Clairton Blvd,15236,40.33322,-79.946238,Take Out
Fortune Star Buffet & Grill,All Star USA Inc,12/30/14,1840,Union Ave,15065,40.624687,-79.721774,Take Out
Fox's Pizza,Yaweh Foods LLC,2/22/08,659,Woodward Ave,15136,40.472714,-80.072727,Take Out
Fox's Pizza,Danbri Enterprises Inc,10/27/00,6,Bailey Ave,15211,40.42685,-80.005307,Take Out
Fox's Pizza,Fox Jr Development Inc,9/29/14,1746,William Flynn Hwy,15116,40.525393,-79.94725,Take Out
Fox's Pizza,M & G Pizza LLC,4/2/15,908,Little Deer Creek Valley Rd,15076,40.60823,-79.833146,Take Out
Fox's Pizza,,8/4/05,104,Church St,15145,40.405193,-79.826158,Take Out
Fox's Pizza,TBK Foxes LLC,6/19/14,4400,Old William Penn Hwy,15146,40.445241,-79.764845,Take Out
Fox's Pizza Brookline,DGPD Enterprise LLC,3/24/15,902,Brookline Blvd,15226,40.39006,-80.014366,Take Out
Fox's Pizza Den,Dnwhite Enterprises LLC,10/7/15,998,Brodhead Rd,15108,40.524248,-80.223868,Take Out
Fox's Pizza Den,Moneda Enterprises LLC,11/11/13,1100B,Lincoln Hwy,15137,40.449407,-80.199564,Take Out
Fox's Pizza Den,DN White Enterprises LLC,9/18/14,6091,Steubenville Pike,15136,40.443926,-80.146397,Take Out
Fox's Pizza Den,,2/15/84,1500,Radford Rd,15227,40.364247,-79.96717,Take Out
Fox's Pizza Den,Joe Samsa,1/5/15,5700,Homeville Rd,15122,40.366344,-79.871442,Take Out
Fox's Pizza Den,J & T Holdings Inc,4/13/06,200,Swiss Lane,15037,40.28057,-79.835529,Take Out
Fox's Pizza Den,F P D I Inc,12/18/92,710,Broadway Ave,15140,40.402315,-79.774875,Take Out
Fox's Pizza Den,M & G Pizza Inc,11/2/98,407,6th Ave,15084,40.603279,-79.752064,Take Out
Fox's Pizza Den Bridgeville,DN White Enterprises LLC,1/23/12,3181,Washington Pike,15017,40.344098,-80.115051,Take Out
Fox's Pizza Den of Oakmont,DGPD Enterprise LLC,8/27/15,314,Allegheny River Blvd,15139,40.522838,-79.832475,Take Out
Fox's Pizza Den Of Penn Hills,DGPD Enterprise LLC,10/3/14,12244,Frankstown Rd,15235,40.472297,-79.819033,Take Out
Fox's Pizza Den of Plum,Fox Jr Development Inc,3/20/01,2374,Golden Mile Hwy / Rt 286,15239,40.462782,-79.704641,Take Out
Fox's Pizza-Carnegie,DNWhite Enterprises LLC,9/24/10,221,2nd Ave,15106,40.403277,-80.089572,Take Out
Fu Lai,Jiujiang Chi,10/28/09,525,Penn Ave,15222,40.442861,-80.003113,Take Out
Gateway Clipper Cafe,Gateway Clipper Fleet Inc,10/20/15,224,Station Square Dr,15219,40.433634,-80.004835,"Breakfast, Drink, Other"
Gloria Jean's Coffees,JY Coffee Inc,9/1/13,,Monroville Mall / Space A-9,15146,40.430526,-79.792457,"Breakfast, Drink, Other"
Graeter's Ice Cream,Graeter's Manufacturing Inc,6/30/16,10610,Perry Hwy,15090,40.611054,-80.053876,"Breakfast, Drink, Other"
Grandslam Pizza,Grandslam Pizza LLC,10/31/13,417,Old Abers Creek Rd,15239,40.465935,-79.705384,Take Out
Grandslam Pizza #2,Grandslam Pizza LLC,10/30/15,4376,Old Wm Penn Hwy,15146,40.443434,-79.768864,Take Out
Green Beans Coffee,Green Beans Coffee Co USA LLC,7/14/14,,Pgh Intl Airport / Ne-3a,15231,40.495309,-80.235291,"Breakfast, Drink, Other"
Green Beans Coffee,Green Beans Coffee Co USA LLC,11/20/14,,Pgh Intl Airport / Se-9c,15231,40.495309,-80.235291,"Breakfast, Drink, Other"
Green Leaf's & Bananas,Villa Enterprises / Green Leaf Inc,10/2/13,301,South Hill Village - Fc-5,15241,40.342924,-80.055169,"Breakfast, Drink, Other"
Handel's Ice Cream,All-Rae Inc,7/19/92,2240,Lebanon Church Rd,15122,40.347833,-79.942427,"Breakfast, Drink, Other"
Handel's Old Fashioned Ice Cream,Handel's of McCandless LLC,2/29/12,9020,St Simon Way,15237,40.569025,-80.024991,"Breakfast, Drink, Other"
Hardee's,Steeltown Restaurants Inc,8/13/96,1201,North Ave,15209,40.493092,-79.975603,Dollar Menu
"Hook, Fish & Chicken",Ramallah Inc,9/27/06,1221,Federal St,15212,40.456511,-80.006998,Take Out
"Hook, Fish & Chicken",,10/25/12,10,Ormsby Ave,15210,40.412578,-79.987728,Take Out
"Hook, Fish & Chicken",Hamdan's Inc,8/27/04,6960,5th Ave,15208,40.458381,-79.907878,Take Out
"Hook, Fish & Chicken",Hook Inc,10/28/10,11644,Frankstown Rd,15235,40.465214,-79.827207,Take Out
Hunan Wok,,7/24/15,2158,Brownsville Rd,15210,40.391956,-79.987408,Take Out
Hunan Wok,,11/29/00,1822,Homeville Rd,15122,40.373678,-79.873734,Take Out
Hunan Wok II,,1/11/10,500,Pine Hollow Rd,15136,40.473857,-80.096769,Take Out
Italian Village Pizza,Casey Thomas Inc,4/1/03,5037,2nd Ave,15207,40.388293,-80.04073,Take Out
Italian Village Pizza,Fabo Corp,1/1/12,325,Mt Lebanon Blvd,15234,40.369495,-80.03507,Take Out
Italian Village Pizza,Munmon Inc,4/21/08,5255,Library Rd,15102,40.332479,-80.02187,Take Out
Italian Village Pizza,FVAV Inc,3/1/10,4885,McKnight Rd,15237,40.529616,-80.010025,Take Out
Italian Village Pizza,IRIVP Inc,9/11/07,600,Grant St,15219,40.44129,-79.994574,Take Out
Italian Village Pizza,,12/1/13,2951,Ridge Rd,15129,40.289954,-79.981844,Take Out
Italian Village Pizza,Italian Eatery Inc,12/20/01,2713,Brownsville Rd,15227,40.384129,-79.977417,Take Out
Italian Village Pizza,Fabocorp Inc,3/10/09,5235,Clairton Blvd,15227,40.343866,-79.970337,Take Out
Italian Village Pizza,Frank Veltri,1/1/80,3075,Clairton Blvd / Century III Mall / Rm 696,15123,40.340291,-79.938522,Take Out
Italian Village Pizza,Acheropita Inc,4/12/02,5886,Forbes Ave,15217,40.437907,-79.919555,Take Out
Italian Village Pizza,Cantley Group,3/1/16,2615,Main St,15120,40.392548,-79.900057,Take Out
Italian Village Pizza,,2/26/16,412,Richland Ave,15034,40.350162,-79.893841,Take Out
Italian Village Pizza,MMJC Inc,11/1/01,308,Scenery Dr,15037,40.279728,-79.836543,Take Out
Italian Village Pizza / Shake Shop,Casab Inc,4/7/06,580,Old Clairton Rd,15236,40.325847,-79.956933,Take Out
J & M Deli II,J & M Export Deli Inc,12/7/15,226A,Center Rd,15146,40.440441,-79.767095,Take Out
Jake & Sons Pizzeria,,3/10/88,2147,Ardmore Blvd,15221,40.418191,-79.848548,Take Out
Jersey Mike's Subs,,7/15/15,1155,Washington Pike,15017,40.369288,-80.102255,Take Out
Jersey Mike's Subs,Ayden-Arian LLC,6/25/13,7390,McKnight Rd,15237,40.539696,-80.011567,Take Out
Jet's Pizza #399,PA Pizza #1 LLC,1/29/15,1810,Dormont Ave,15216,40.398488,-80.044325,Take Out
Jimmy John's,JPC & Co,3/14/13,1935,Settlers Ridge Center Dr,15205,40.440641,-80.149132,NO Dollar Menu
Jimmy John's,Kelly Breen LLC,6/20/14,12061,Perry Highway,15090,40.631579,-80.060278,NO Dollar Menu
Jimmy John's,JJ Carson LLC,3/22/13,1717,Carson St,15203,40.429081,-79.981256,NO Dollar Menu
Jimmy John's,Pittsburgh's Best Jimmy John's LLC,5/29/11,6425,Penn Ave,15206,40.457165,-79.916834,NO Dollar Menu
Jimmy John's #2682,Atlas East,3/9/16,401,Home Dr,15275,40.450116,-80.182687,NO Dollar Menu
Jimmy John's #2824,JJ McKnight LLC,3/9/15,4840,McKnight Rd,15237,40.52794,-80.006138,NO Dollar Menu
Jimmy John's #2865,Montreux LLC,6/30/16,5833,Forbes Ave,15217,40.438259,-79.921714,NO Dollar Menu
Jimmy John's Gourmet Sandwiches,JJ Grant LLC,12/15/11,501,Grant St,15219,40.439936,-79.997031,NO Dollar Menu
Jimmy John's Gourmet Sandwiches #357,JJ Pittsburgh LLC,7/27/09,506,Liberty Ave,15222,40.44139,-80.003253,NO Dollar Menu
Jimmy John's Sandwich Shop,Millennium Food Inc,8/22/01,3444,Forbes Ave,15213,40.439218,-79.959718,NO Dollar Menu
Joe's Water Ice,JPO Enterprises Inc,4/4/01,7179,Saltsburg Rd,15235,40.476329,-79.788837,"Breakfast, Drink, Other"
Kentucky Fried Chicken #15,Morgan's Foods Inc,2/6/86,4673,Wm Flynn Hwy,15101,40.592374,-79.948364,Dollar Menu
Kentucky Fried Chicken #50,Morgan's Foods Inc,7/15/00,6901,University Blvd,15108,40.516946,-80.220528,Dollar Menu
Kentucky Fried Chicken #51,Morgan's Foods Inc,4/25/85,5130,Clairton Blvd,15236,40.345198,-79.973415,Dollar Menu
Kentucky Fried Chicken #52,Morgan's Food Inc,10/10/13,5153,Library Rd,15102,40.336128,-80.024005,Dollar Menu
Kentucky Fried Chicken #53,Morgan's Foods Inc,4/27/89,1100,Brownsville Rd,15210,40.404949,-79.990887,Dollar Menu
Kentucky Fried Chicken #55,Morgan's Foods Inc,9/14/99,222,W 8th Av,15120,40.404114,-79.91447,Dollar Menu
Kentucky Fried Chicken #58,Morgan's Foods Inc,11/23/01,640,Long Run Rd,15132,40.323214,-79.832692,Dollar Menu
Kentucky Fried Chicken #59,Morgan's Foods Inc,12/1/97,4306,Ohio River Blvd,15202,40.497453,-80.060344,Dollar Menu
Kentucky Fried Chicken #61,Morgan's Foods Inc,1/25/90,1,Landings Dr,15238,40.539523,-79.829099,Dollar Menu
Kentucky Fried Chicken #65,Morgan's Foods Inc,10/7/99,804,West View Park Dr,15229,40.517413,-80.032686,Dollar Menu
Kentucky Fried Chicken #66,Morgan's Foods Inc,12/14/84,278,Yost Blvd,15221,40.412997,-79.856682,Dollar Menu
Kentucky Fried Chicken #68,Morgan's Foods Inc,12/11/96,3770,Wm Penn Hwy,15146,40.435572,-79.785975,Dollar Menu
Kentucky Fried Chicken #69,Morgan's Foods Inc,1/3/85,4915,Baum Blvd,15213,40.454945,-79.946229,Dollar Menu
Kentucky Fried Chicken #73,Morgan's Foods Inc,5/29/01,210,Rodi Rd,15235,40.463395,-79.824429,Dollar Menu
Kentucky Fried Chicken #74,Morgan's Foods Inc,12/14/84,509,Penn Ave,15221,40.444588,-79.886605,Dollar Menu
KFC / Taco Bell #63,Morgan's Foods Inc,11/17/99,9797,McKnight Rd,15237,40.584923,-80.037115,Dollar Menu
KFC / Taco Bell #64,Morgan's Foods Inc,12/20/84,6190,Steubenville Pike,15136,40.445558,-80.150142,Dollar Menu
La Nova Pizzeria,La Nova Pizzeria LLC,1/15/14,1100,Canal St,15215,40.495206,-79.930962,Take Out
La Nova Pizzeria,La Nova Pizzeria LLC,3/15/10,835,Pittsburgh St,15144,40.54146,-79.778639,Take Out
La Prima Espresso,La Prima Espresso Co Inc,3/16/90,205,21st St,15222,40.451643,-79.982805,"Breakfast, Drink, Other"
La Prima Espresso Co,La Prima Espresso Co,6/9/16,100,South Commons,15212,40.451062,-80.005186,"Breakfast, Drink, Other"
Little Caesars,4 FLC Partners LP,10/24/08,809,West View Park Dr,15229,40.516906,-80.03279,Take Out
Little Caesars,4 FLC Partners LP,4/22/10,5430,Centre Ave,15232,40.455893,-79.937342,Take Out
Little Caesars,4 FLC LLC,11/20/13,1800,Golden Mile Hwy,15239,40.451665,-79.713148,Take Out
Little Caesars #143,4 FLC Partners LP,4/14/09,2973,Liberty Ave,15216,40.393583,-80.035577,Take Out
Little Caesars #154,BFS Companies / 4FLC Partners,6/3/14,4960,William Flynn Hwy,15101,40.571191,-79.952845,Take Out
Little Caesars #156,4 FLC LLC,12/18/15,1309,Pittsburgh St,15024,40.541213,-79.801953,Take Out
Little Caesars Pizza #135,4 FLC Partners LP,5/20/08,1880,Heights Plz,15065,40.623968,-79.722549,Take Out
Little Caesars Pizza #137,4FLCE Partners LP,6/27/08,1160,Washington Ave,15106,40.397454,-80.085297,Take Out
Little Caesars Pizza #138,4 FLC Partners LP,7/23/08,1985,Lincoln Way,15131,40.338384,-79.806711,Take Out
Little Caesars Pizza #141,BFS Foods Inc,2/9/09,1742,Greensburg Ave,15137,40.387254,-79.821466,Take Out
Little Caesars Pizza #145,4 FLC Partners LP,9/29/09,,Caste Village Shopping Ctr #140,15236,40.338077,-79.978961,Take Out
Little Caesars Pizza #148,BFS Co,6/7/11,250,Mt Lebanon Blvd,15234,40.36799,-80.036804,Take Out
Little Caesars/K Cafe #3141,Kmart Corp / Kmart Stores of TNCP Inc,6/17/84,1025,Washington Pike,15017,40.367163,-80.110119,Take Out
Long John Silvers,LJS Opco One LLC,10/9/15,2100,Washington Ave,15106,40.393656,-80.087601,Dollar Menu
Long John Silvers,LJS Opco One LLC,10/14/15,300,Rodi Rd,15235,40.460868,-79.824476,Dollar Menu
Long John Silvers / A&W,LJS OPCo-On LLC,10/9/15,2220,Lebanon Church Rd,15122,40.348366,-79.944155,Dollar Menu
Long John Silvers / A&W,LJS Opco One LLC,10/9/15,201,Hoffman Blvd,15110,40.383808,-79.863501,Dollar Menu
Mama Pepino's Pizza,,5/6/08,607,William Marks Dr,15120,40.409314,-79.898694,Take Out
Mama Pepino's Pizza,,1/1/70,2417,O'Neil Blvd,15131,40.351751,-79.827321,Take Out
Mama Pepino's Pizza Eleven,B Jen LLC,7/7/16,210,Plum St,15037,40.27199,-79.887234,Take Out
Mamma Lucia,ADL Ventures Inc,7/30/09,11978,Perry Hwy #408-410,15090,40.632628,-80.058459,Take Out
Mandy's Pizza & More,Mandy's Pizza & More of W View Inc,2/21/08,512,Perry Hwy,15229,40.521946,-80.033967,Take Out
Mayorga Coffee,Black Dog Ventures LLC,6/20/06,,Pgh Intl Airport / Ac-19,15231,40.495309,-80.235291,"Breakfast, Drink, Other"
McDonald's,McDonald's Corp,8/8/94,300,Market Place Dr,15071,40.440927,-80.239338,Dollar Menu
McDonald's,,5/31/16,1,Poplar St,15205,40.427405,-80.053359,Dollar Menu
McDonald's,Rice Enterprises LLC,5/8/01,801,Allegheny Ave,15233,40.450829,-80.019008,Dollar Menu
McDonald's,Lewandowski Limited Partnership,6/1/16,500,Liberty Ave,15222,40.441259,-80.003371,Dollar Menu
McDonald's,Lewanowski Limited Partnership,6/1/16,505,Smithfield St,15219,40.440282,-79.998526,Dollar Menu
McDonald's,Malik & Malik Enterprises Inc,7/14/00,1630,Penn Ave,15222,40.449305,-79.986305,Dollar Menu
McDonald's,Rice Enterprises LLC,10/24/00,4214,Brownsville Rd,15227,40.364607,-79.983837,Dollar Menu
McDonald's,Rice Enterprises LLC,8/15/03,2251,Century Dr / Century Square Mall,15122,40.343726,-79.949066,Dollar Menu
McDonald's,Rice Enterprises LLC,8/13/01,2090,Lebanon Church Rd,15122,40.34791,-79.945296,Dollar Menu
McDonald's,Draper Inc,3/19/10,7277,Saltsburg Rd,15235,40.477187,-79.788077,Dollar Menu
McDonald's,ASM Shaffer Enterprises LLC,4/23/14,1865,New Texas Rd,15239,40.450647,-79.714235,Dollar Menu
McDonald's,Star Ke LLC,11/5/14,430,Penn Ave,15221,40.444634,-79.888667,Dollar Menu
McDonald's,Star KE LLC,11/5/14,505,Lincoln Hwy,15137,40.384263,-79.824247,Dollar Menu
McDonald's / Moon Twp,Bristin Enterprises Inc,3/21/16,825,Beaver Grade Rd,15108,40.517655,-80.216189,Dollar Menu
McDonald's #1,PHF Group I LLC,7/16/15,4849,McKnight Rd,15237,40.528587,-80.008312,Dollar Menu
McDonald's #2,PHF Group II LLC,11/16/15,7702,McKnight Rd,15237,40.54634,-80.016405,Dollar Menu
McDonald's #428,Draper Inc,12/19/01,11591,Frankstown Rd,15235,40.465208,-79.828907,Dollar Menu
McDonald's #442,MBC Enterprises LLC,5/1/07,5261,Library Rd,15102,40.331889,-80.022381,Dollar Menu
McDonald's #714,Foster Group Enterprises Inc,5/1/93,10529,Perry Hwy,15090,40.610159,-80.054045,Dollar Menu
McDonald's #1102,Rice Enterprises LLC,12/12/01,225,Mt Lebanon Blvd,15234,40.368422,-80.038114,Dollar Menu
McDonald's #1450,,1/4/91,608,Wood St,15222,40.442292,-79.998945,Dollar Menu
McDonald's #1741,Draper Inc,3/11/10,3760,Wm Penn Hwy,15146,40.435384,-79.78689,Dollar Menu
McDonald's #1862,,3/5/91,3708,Forbes Ave,15213,40.441141,-79.957148,Dollar Menu
McDonald's #2492,Delligatti Inc,4/4/90,2001,Freeport Rd,15065,40.626402,-79.722173,Dollar Menu
McDonald's #3698,Dell Mgt Corp,8/1/76,2925,Freeport Rd,15238,40.53915,-79.830099,Dollar Menu
McDonald's #4121,Draper Inc,3/29/10,4317,Northern Pike,15146,40.43448,-79.751788,Dollar Menu
McDonald's #4647,Rice Enterprises LLC,11/1/00,101,Hoffman Blvd,15110,40.384217,-79.863283,Dollar Menu
McDonald's #4817,Malik Foods Inc,6/11/01,148,N Euclid St,15206,40.462513,-79.92778,Dollar Menu
McDonald's #4939,PHF Group III LLC,7/6/16,4557,Ohio River Blvd,15202,40.492146,-80.06218,Dollar Menu
McDonald's #5441,Rice Enterprises LLC,3/29/10,2100,Washington Pike,15106,40.387563,-80.093341,Dollar Menu
McDonald's #6373,McDonald's Corp,10/18/00,4235,Walnut St,15132,40.320953,-79.835736,Dollar Menu
McDonald's #6822,Rice Enterprises LLC,12/31/01,3023,Washington Pike,15017,40.353717,-80.114547,Dollar Menu
McDonald's #7450,McDonald's,5/26/10,2518,Liberty Ave,15226,40.398834,-80.026459,Dollar Menu
McDonald's #7506,McDonald's Corp,6/17/84,971,William Flynn Highway,15116,40.53173,-79.957531,Dollar Menu
McDonald's #7683,Briston Enterprise LLC,4/7/16,6380,Steubenville Pike,15205,40.448305,-80.155564,Dollar Menu
McDonald's #7705,Rice Enterprises LLC,5/25/01,82,Fort Couch Rd,15241,40.338071,-80.050784,Dollar Menu
McDonald's #10260,Malik Enterprises Inc,2/7/05,6361,Penn Ave,15206,40.458803,-79.918483,Dollar Menu
McDonald's #12151,PHF Group LLC,3/25/15,363,Perry Highway,15229,40.517569,-80.029306,Dollar Menu
McDonald's #12182,Shawn Malik Inc,1/24/05,,Pgh Intl Airport / Ac-02e,15231,40.495309,-80.235291,Dollar Menu
McDonald's #12183,Shawn Malik Inc,1/27/05,,Pgh Intl Airport / Se-09a,15231,40.495309,-80.235291,Dollar Menu
McDonald's #12415,Draper Inc,12/19/01,70,Allegheny River Blvd,15147,40.498933,-79.818468,Dollar Menu
McDonald's #18474,Tri County Mgmt,11/21/96,600,Pine Hollow Rd,15136,40.473945,-80.09571,Dollar Menu
McDonald's #22492,Rice Enterprises LLC,8/28/00,549,Clairton Blvd,15236,40.333256,-79.946249,Dollar Menu
McDonald's #24334,Rice Enterprises LLC,1/3/01,400,E Waterfront Dr,15120,40.412066,-79.909936,Dollar Menu
McDonald's #24444,Tri-County Management,8/4/09,200,Walmart Dr,15044,40.621501,-79.944094,Dollar Menu
McDonald's #26447,Tri-County Management,8/4/09,4618,Wm Flynn Hwy,15044,40.626088,-79.941799,Dollar Menu
McDonald's #27444,Tri County Management,8/18/09,1010,4th Ave,15108,40.517838,-80.163126,Dollar Menu
McDonald's #31563,M & J Management Corp,1/19/06,2010,Value Dr,15084,40.611784,-79.772092,Dollar Menu
McDonald's #33806,M & J Management,6/14/13,907,Freeport Rd,15238,40.486872,-79.88952,Dollar Menu
McDonald's Of Warrendale,Delligatti Inc,6/17/84,19055,Perry Hwy,16046,40.6718121,-80.0985583,Dollar Menu
Mineo's Pizza,Istanbul Inc,6/3/96,2350,Noblestown Rd,15205,40.42746,-80.05546,Take Out
Mineo's Pizza,"Mineo's Pizza House 2, Inc.",8/26/94,713 A,Washington Rd,15228,40.379826,-80.04461,Take Out
Mitch's Barbeque,,2/29/16,16070,Perry Hwy,15090,40.632349,-80.058797,Take Out
Mm Mm Pizza,Ma Pizza,4/5/00,2971,South Park Road,15102,40.327167,-80.041842,Take Out
Mm! Mm! Pizza,,3/7/03,5208,Clairton Blvd,15236,40.343924,-79.971971,Take Out
Moe's Southwest Grill,Big Plan Butler,9/3/15,10339,Perry Hwy,15090,40.604093,-80.051224,NO Dollar Menu
Moe's Southwest Grill #327,Big Plan Ventures LP,2/27/13,5432,Campbells Run Rd,15205,40.447209,-80.157576,NO Dollar Menu
Molly's Pizza,ZMC Food Division LLC,12/7/04,1525,Potomac Ave,15216,40.396899,-80.035918,Take Out
Monte Cello's,Monte Cello's Of Shaler Inc,7/19/96,880,Butler St,15223,40.511559,-79.945112,Take Out
Monte Cello's Pizza,,6/17/85,305,7th Ave,15222,40.443025,-79.996958,Take Out
Mrs Fields / TCBY,JY Cookies Inc,2/21/13,200,Mall Circle Dr,15146,40.429183,-79.795459,"Breakfast, Drink, Other"
Mrs Fields Original Cookies #54103,South Hills Cookies Inc,12/6/04,301,South Hills Village / Fc-06,15241,40.342623,-80.05617,"Breakfast, Drink, Other"
Mt Lebanon Dairy Queen,JBLR Inc,8/9/01,1693,McFarland Rd,15216,40.396129,-80.046884,"Breakfast, Drink, Other"
Muddy Cup,,11/14/14,419,Lincoln Ave,15202,40.494323,-80.053088,"Breakfast, Drink, Other"
Nobby's Pizza Castle Shannon,,9/10/14,1106,Castle Shannon Blvd,15234,40.36758,-80.017161,Take Out
Original Milano Pizza,Amic II Business Group,8/3/15,6004,Centre Ave,15206,40.459817,-79.924677,Take Out
Panera #4347,Covelli Enterprises,12/9/14,8800,Covenant Ave,15234,40.56844,-80.021956,NO Dollar Menu
Panera Bread #3482,Cadle LLC,12/28/98,942,Freeport Rd,15238,40.489122,-79.892568,NO Dollar Menu
Panera Bread #3488,Cadle LLC,11/6/00,1500,Washington Rd,15228,40.356959,-80.051807,NO Dollar Menu
